trade_id,strategy_id,entry_time,exit_time,direction,symbol,entry_price,exit_price,R_result,net_R_C1,gross_R,cost_R,MAE_R,MFE_R,exit_reason,holding_time
T2-H1-NG-000001,T2,2025-01-23 23:00:00+03:00,2025-01-24 10:00:00+03:00,LONG,NG,3.53580765575,3.44099470065,-1.38627345175,-1.38627345175,-1.35763527104,0.0286381807129,0.115270919239,0.179310318816,INITIAL_STOP,0 days 11:00:00
T2-H1-CNY-000001,T2,2025-01-24 19:00:00+03:00,2025-01-27 16:00:00+03:00,SHORT,CNY,16.7816892018,16.669526302,1.06446934952,1.06446934952,1.08379471861,0.0193253690913,0.291794732779,2.8245730133,ATR_TRAILING_STOP,2 days 21:00:00
T2-H1-CNY-000002,T2,2025-01-27 22:00:00+03:00,2025-01-28 11:00:00+03:00,SHORT,CNY,16.6898869719,16.7408027537,-1.03928055177,-1.03928055177,-1,0.0392805517698,0.521927166647,0.379583393925,INITIAL_STOP,0 days 13:00:00
T2-H1-BR-000001,T2,2025-01-28 13:00:00+03:00,2025-01-28 17:00:00+03:00,SHORT,BR,54.0879702925,54.4811953371,-1.00508614603,-1.00508614603,-1,0.00508614603099,0.747552487574,0.0889943437588,INITIAL_STOP,0 days 04:00:00
T2-H1-CNY-000003,T2,2025-01-28 13:00:00+03:00,2025-01-29 16:00:00+03:00,SHORT,CNY,16.6451937811,16.682349765,-0.293570978549,-0.293570978549,-0.278576030197,0.0149949483519,0.326029664658,1.04148365099,ATR_TRAILING_STOP,1 days 03:00:00
T2-H1-GD-000001,T2,2025-02-03 15:00:00+03:00,2025-02-04 11:00:00+03:00,LONG,GD,2661.23435,2664.75065343,0.286739170703,0.286739170703,0.286902354774,0.000163184071509,0.0618421526536,2.04852130665,ATR_TRAILING_STOP,0 days 20:00:00
T2-H1-BR-000002,T2,2025-02-06 21:00:00+03:00,2025-02-10 09:00:00+03:00,SHORT,BR,52.4341402435,52.9134414314,-0.650045092361,-0.650045092361,-0.647343893574,0.00270119878673,0.694942709278,0.209434789098,EMA50_TREND_LOSS,3 days 12:00:00
T2-H1-GD-000002,T2,2025-02-11 19:00:00+03:00,2025-02-12 09:00:00+03:00,LONG,GD,2747.45042243,2732.95475311,-0.658228677982,-0.658228677982,-0.658137873224,9.08047581194e-05,0.292505721433,0.245188619436,EMA50_TREND_LOSS,0 days 14:00:00
T2-H1-NG-000002,T2,2025-02-10 19:00:00+03:00,2025-02-12 13:00:00+03:00,LONG,NG,3.44175891225,3.48362183823,0.452890033674,0.452890033674,0.475612401516,0.0227223678427,0.136324657809,1.431408907,ATR_TRAILING_STOP,1 days 18:00:00
T2-H1-MIX-000001,T2,2025-02-11 10:00:00+03:00,2025-02-12 18:00:00+03:00,LONG,MIX,371169.465015,373184.923909,0.590818632688,0.590818632688,0.590819218976,5.86287540426e-07,0.770041765519,1.70825357178,ATR_TRAILING_STOP,1 days 08:00:00
T2-H1-NG-000003,T2,2025-02-12 22:00:00+03:00,2025-02-13 21:00:00+03:00,LONG,NG,3.55075127757,3.65792163838,1.66778688875,1.66778688875,1.69950279951,0.0317159107556,0.079284223201,3.4726489762,ATR_TRAILING_STOP,0 days 23:00:00
T2-H1-NG-000004,T2,2025-02-14 09:00:00+03:00,2025-02-17 09:00:00+03:00,LONG,NG,3.69474119139,3.63974504375,-0.561889928724,-0.561889928724,-0.542173160065,0.0197167686589,0.276015426942,0.916765525201,ATR_TRAILING_STOP,3 days 00:00:00
T2-H1-MIX-000002,T2,2025-02-17 09:00:00+03:00,2025-02-18 12:00:00+03:00,LONG,MIX,399521.220294,405459.521152,0.944592716464,0.944592716464,0.944593034599,3.18135795808e-07,0.0480282653267,2.25252564382,ATR_TRAILING_STOP,1 days 03:00:00
T2-H1-MIX-000003,T2,2025-02-18 15:00:00+03:00,2025-02-18 16:00:00+03:00,LONG,MIX,410511.67708,402490.860422,-1.00000024935,-1.00000024935,-1,2.49351167762e-07,0,0,INITIAL_STOP,0 days 01:00:00
T2-H1-GD-000003,T2,2025-02-19 23:00:00+03:00,2025-02-20 18:00:00+03:00,LONG,GD,2773.4099871,2776.97526966,0.267530325953,0.267530325953,0.267680485432,0.000150159478544,0.0355663749404,1.85656477189,ATR_TRAILING_STOP,0 days 19:00:00
T2-H1-GD-000004,T2,2025-02-20 20:00:00+03:00,2025-02-21 10:00:00+03:00,LONG,GD,2786.5792553,2774.8531535,-1.00017055967,-1.00017055967,-1,0.000170559665345,0.913001782475,0.274708500922,INITIAL_STOP,0 days 14:00:00
T2-H1-NG-000005,T2,2025-02-20 23:00:00+03:00,2025-02-21 17:00:00+03:00,LONG,NG,4.17070785096,4.17829566239,0.0451519039571,0.0451519039571,0.0613127585187,0.0161608545617,0.210076393906,1.52709378647,ATR_TRAILING_STOP,0 days 18:00:00
T2-H1-CNY-000004,T2,2025-02-24 13:00:00+03:00,2025-02-26 14:00:00+03:00,SHORT,CNY,14.7282182709,14.408963116,1.78308786774,1.78308786774,1.79432858576,0.0112407180168,0.176513141159,2.95320063093,ATR_TRAILING_STOP,2 days 01:00:00
T2-H1-Si-000001,T2,2025-02-24 13:00:00+03:00,2025-02-26 14:00:00+03:00,SHORT,Si,109004.154101,107169.743368,1.41013719835,1.41013719835,1.41013873578,1.53742966122e-06,0.280144240345,2.56627115153,ATR_TRAILING_STOP,2 days 01:00:00
T2-H1-MIX-000004,T2,2025-03-03 09:00:00+03:00,2025-03-04 10:00:00+03:00,SHORT,MIX,392455.926646,392581.777194,-0.0183997079148,-0.0183997079148,-0.0183994155138,2.92401038873e-07,0.00441431453543,1.48320968391,ATR_TRAILING_STOP,1 days 01:00:00
T2-H1-NG-000006,T2,2025-03-05 15:00:00+03:00,2025-03-06 19:00:00+03:00,LONG,NG,4.37076016549,4.33913592982,-0.293144974177,-0.293144974177,-0.275708445539,0.0174365286386,0.643167004655,1.54183870979,ATR_TRAILING_STOP,1 days 04:00:00
