diagnostic_run_id,strategy,data_generation,parameter_generation,universe,trade_id,symbol,direction,entry_time,exit_time,entry_price,exit_price,gross_R,cost_R,net_R_C1,MAE_R,MFE_R,exit_reason
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-NG-000001,NG,LONG,2025-01-23 23:00:00+03:00,2025-01-24 10:00:00+03:00,3.53580765575,3.44099470065,-1.35763527104,0.0286381807129,-1.38627345175,0.115270919239,0.179310318816,INITIAL_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-CNY-000001,CNY,SHORT,2025-01-24 19:00:00+03:00,2025-01-27 16:00:00+03:00,16.7816892018,16.669526302,1.08379471861,0.0193253690913,1.06446934952,0.291794732779,2.8245730133,ATR_TRAILING_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-CNY-000002,CNY,SHORT,2025-01-27 22:00:00+03:00,2025-01-28 11:00:00+03:00,16.6898869719,16.7408027537,-1,0.0392805517698,-1.03928055177,0.521927166647,0.379583393925,INITIAL_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-BR-000001,BR,SHORT,2025-01-28 13:00:00+03:00,2025-01-28 17:00:00+03:00,54.0879702925,54.4811953371,-1,0.00508614603099,-1.00508614603,0.747552487574,0.0889943437588,INITIAL_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-CNY-000003,CNY,SHORT,2025-01-28 13:00:00+03:00,2025-01-29 16:00:00+03:00,16.6451937811,16.682349765,-0.278576030197,0.0149949483519,-0.293570978549,0.326029664658,1.04148365099,ATR_TRAILING_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-NG-000002,NG,SHORT,2025-01-30 21:00:00+03:00,2025-02-03 09:00:00+03:00,3.0957831471,3.28876962882,-2.38373656399,0.0247036636224,-2.40844022761,0.370528999583,1.07453409879,ATR_TRAILING_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-GD-000001,GD,LONG,2025-02-03 15:00:00+03:00,2025-02-04 11:00:00+03:00,2661.23435,2664.75065343,0.286902354774,0.000163184071509,0.286739170703,0.0618421526536,2.04852130665,ATR_TRAILING_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-GD-000002,GD,LONG,2025-02-11 19:00:00+03:00,2025-02-12 09:00:00+03:00,2747.45042243,2732.95475311,-0.658137873224,9.08047581194e-05,-0.658228677982,0.292505721433,0.245188619436,EMA50_TREND_LOSS
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-NG-000003,NG,LONG,2025-02-10 19:00:00+03:00,2025-02-12 13:00:00+03:00,3.44175891225,3.48362183823,0.475612401516,0.0227223678427,0.452890033674,0.136324657809,1.431408907,ATR_TRAILING_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-MIX-000001,MIX,LONG,2025-02-11 10:00:00+03:00,2025-02-12 18:00:00+03:00,371169.465015,373184.923909,0.590819218976,5.86287540426e-07,0.590818632688,0.770041765519,1.70825357178,ATR_TRAILING_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-NG-000004,NG,LONG,2025-02-12 22:00:00+03:00,2025-02-13 21:00:00+03:00,3.55075127757,3.65792163838,1.69950279951,0.0317159107556,1.66778688875,0.079284223201,3.4726489762,ATR_TRAILING_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-NG-000005,NG,LONG,2025-02-14 09:00:00+03:00,2025-02-17 09:00:00+03:00,3.69474119139,3.63974504375,-0.542173160065,0.0197167686589,-0.561889928724,0.276015426942,0.916765525201,ATR_TRAILING_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-MIX-000002,MIX,LONG,2025-02-18 15:00:00+03:00,2025-02-18 16:00:00+03:00,410511.67708,402490.860422,-1,2.49351167762e-07,-1.00000024935,0,0,INITIAL_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-NG-000006,NG,LONG,2025-02-20 15:00:00+03:00,2025-02-20 17:00:00+03:00,4.2117049792,4.1367243802,-1,0.0266735665856,-1.02667356659,0.720135853855,0.0400075474364,INITIAL_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-GD-000003,GD,LONG,2025-02-19 23:00:00+03:00,2025-02-20 18:00:00+03:00,2773.4099871,2776.97526966,0.267680485432,0.000150159478544,0.267530325953,0.0355663749404,1.85656477189,ATR_TRAILING_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-GD-000004,GD,LONG,2025-02-20 20:00:00+03:00,2025-02-21 10:00:00+03:00,2786.5792553,2774.8531535,-1,0.000170559665345,-1.00017055967,0.913001782475,0.274708500922,INITIAL_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-NG-000007,NG,LONG,2025-02-21 09:00:00+03:00,2025-02-21 17:00:00+03:00,4.26370133697,4.17829566239,-0.53751310659,0.0125872925722,-0.550100399162,0.333539889417,0.604147724228,ATR_TRAILING_STOP
QUARTERLY_ALL6__LEGACY_PARAMS,T2,QUARTERLY_V2,LEGACY_PARAMS,ALL6,T2-QUARTERLY_ALL6__LEGACY_PARAMS-CNY-000004,CNY,SHORT,2025-02-24 13:00:00+03:00,2025-02-26 14:00:00+03:00,14.7282182709,14.408963116,1.79432858576,0.0112407180168,1.78308786774,0.176513141159,2.95320063093,ATR_TRAILING_STOP
