configuration_id,neighbor_count,similar_neighbor_count,classification
T2-M5-0000-5553cde1a914,1,0,NO_EDGE
T2-M5-0001-3cda411fac32,1,1,LOCAL_PEAK
T2-M5-0002-2d018223b5df,1,0,LOCAL_PEAK
T2-M5-0003-f6822266078f,1,1,LOCAL_PEAK
T2-M5-0004-b6d0084e4f65,1,1,LOCAL_PEAK
T2-M5-0005-d585df88c9ab,1,1,LOCAL_PEAK
T2-M5-0006-c8f8799b3e84,1,1,LOCAL_PEAK
T2-M5-0007-97448e9f1022,1,0,NO_EDGE
T2-M5-0008-2b0494cdd24b,16,10,ROBUST_PLATEAU
T2-M5-0009-92427c2b03f4,1,0,LOCAL_PEAK
T2-M5-0010-ad8418b22c05,1,1,LOCAL_PEAK
T2-M5-0011-37b94d2fd3b2,1,1,LOCAL_PEAK
T2-M5-0012-f533275fb390,1,1,LOCAL_PEAK
T2-M5-0013-2fa976bb392d,1,1,LOCAL_PEAK
T2-M5-0014-26fb9b19bd4f,2,0,LOCAL_PEAK
T2-M5-0015-06f7457aa579,1,0,LOCAL_PEAK
T2-M5-0016-6849cb8732c4,1,0,LOCAL_PEAK
T2-M5-0017-ddab5bab2879,2,0,LOCAL_PEAK
T2-M5-0018-f1f384e0c476,1,0,LOCAL_PEAK
