generation,futures_type,lifecycle_stage,strategy,timeframe,instrument,source_schema_id,source_path,source_row_number,source_trade_id,canonical_trade_key,direction,entry_time,exit_time,entry_date,exit_date,entry_year,entry_month,exit_year,exit_month,entry_weekday,exit_weekday,entry_hour,exit_hour,canonical_C1_R,gross_R,cost_R,MAE_R,MFE_R,exit_reason_raw,entry_price,exit_price,stop_raw,holding_source_value,holding_minutes,holding_hours,MAE_status,MFE_status,exit_reason_status,stop_status,holding_status
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,2,T2-H1-CNYRUBF-000001,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|2|T2-H1-CNYRUBF-000001,SHORT,2023-01-23 16:00:00+03:00,2023-01-23 20:00:00+03:00,2023-01-23,2023-01-23,2023,1,2023,1,0,0,16,20,-1.037932284,-1,0.0379322839992,0.568984259988,0,INITIAL_STOP,10.11,10.1627255359,10.1627255359,4,240,4,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,3,T2-H1-CNYRUBF-000002,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|3|T2-H1-CNYRUBF-000002,LONG,2023-02-01 10:00:00+03:00,2023-02-03 00:00:00+03:00,2023-02-01,2023-02-03,2023,2,2023,2,2,4,10,0,-0.115443142944,-0.0962026191198,0.019240523824,0.577215714719,0.769620952958,ATR_TRAILING_STOP,10.42,10.41,10.3160527261,29,2280,38,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,4,T2-H1-CNYRUBF-000003,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|4|T2-H1-CNYRUBF-000003,LONG,2023-02-13 11:00:00+03:00,2023-02-14 17:00:00+03:00,2023-02-13,2023-02-14,2023,2,2023,2,0,1,11,17,-0.0893737642478,-0.0680940002622,0.0212797639856,0.212797639856,0.851190559425,ATR_TRAILING_STOP,10.78,10.773600117,10.6860139952,21,1800,30,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,5,T2-H1-CNYRUBF-000004,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|5|T2-H1-CNYRUBF-000004,LONG,2023-03-10 12:00:00+03:00,2023-03-13 11:00:00+03:00,2023-03-10,2023-03-13,2023,3,2023,3,4,0,12,11,0.009299491003,0.047344632273,0.03804514127,0.19022570635,1.5218056508,ATR_TRAILING_STOP,10.91,10.9124888662,10.8574308694,14,4260,71,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,6,T2-H1-CNYRUBF-000005,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|6|T2-H1-CNYRUBF-000005,LONG,2023-03-13 15:00:00+03:00,2023-03-14 12:00:00+03:00,2023-03-13,2023-03-14,2023,3,2023,3,0,1,15,12,-0.450094617925,-0.428661540881,0.0214330770441,0.535826926102,0,EMA50_TREND_LOSS,10.95,10.91,10.856686287,12,1260,21,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,7,T2-H1-CNYRUBF-000006,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|7|T2-H1-CNYRUBF-000006,LONG,2023-03-20 17:00:00+03:00,2023-03-21 23:00:00+03:00,2023-03-20,2023-03-21,2023,3,2023,3,0,1,17,23,-0.558181709914,-0.531497742799,0.0266839671142,0.667099177855,0.800519013426,ATR_TRAILING_STOP,11.19,11.1501635139,11.115048626,21,1800,30,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,8,T2-H1-CNYRUBF-000007,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|8|T2-H1-CNYRUBF-000007,LONG,2023-04-04 19:00:00+03:00,2023-04-07 14:00:00+03:00,2023-04-04,2023-04-07,2023,4,2023,4,1,4,19,14,4.31974035329,4.34100093719,0.0212605839017,0.212605839017,6.05926641199,ATR_TRAILING_STOP,11.53,11.9383614032,11.4359292064,40,4020,67,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,9,T2-H1-CNYRUBF-000008,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|9|T2-H1-CNYRUBF-000008,LONG,2023-06-27 11:00:00+03:00,2023-06-29 22:00:00+03:00,2023-06-27,2023-06-29,2023,6,2023,6,1,3,11,22,4.58283581202,4.61359309935,0.030757287329,0.61514574658,7.68932183225,ATR_TRAILING_STOP,11.79,12.09,11.7249747597,41,3540,59,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,10,T2-H1-CNYRUBF-000009,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|10|T2-H1-CNYRUBF-000009,LONG,2023-07-03 13:00:00+03:00,2023-07-03 17:00:00+03:00,2023-07-03,2023-07-03,2023,7,2023,7,0,0,13,17,-1.01883996926,-1,0.0188399692609,0.470999231521,0.0941998463043,INITIAL_STOP,12.33,12.2238427143,12.2238427143,4,240,4,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,11,T2-H1-CNYRUBF-000010,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|11|T2-H1-CNYRUBF-000010,LONG,2023-08-03 13:00:00+03:00,2023-08-07 18:00:00+03:00,2023-08-03,2023-08-07,2023,8,2023,8,3,0,13,18,4.23075110593,4.26142756905,0.0306764631231,0.306764631231,6.90220420271,ATR_TRAILING_STOP,13.04,13.3178304364,12.9748034357,37,6060,101,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,12,T2-H1-CNYRUBF-000011,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|12|T2-H1-CNYRUBF-000011,LONG,2023-08-31 20:00:00+03:00,2023-09-01 18:00:00+03:00,2023-08-31,2023-09-01,2023,8,2023,9,3,4,20,18,0.433607756998,0.471316651662,0.0377088946635,0.188544473317,2.45107815313,ATR_TRAILING_STOP,13.19,13.2149976381,13.1369621155,14,1320,22,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,13,T2-H1-CNYRUBF-000012,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|13|T2-H1-CNYRUBF-000012,LONG,2023-09-06 18:00:00+03:00,2023-09-07 15:00:00+03:00,2023-09-06,2023-09-07,2023,9,2023,9,2,3,18,15,-0.646845869111,-0.609247096447,0.0375987726645,0.375987726645,0.939969316614,ATR_TRAILING_STOP,13.41,13.3775921817,13.3568067743,13,1260,21,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,14,T2-H1-CNYRUBF-000013,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|14|T2-H1-CNYRUBF-000013,LONG,2023-09-07 18:00:00+03:00,2023-09-08 10:00:00+03:00,2023-09-07,2023-09-08,2023,9,2023,9,3,4,18,10,-0.306361076318,-0.287213509048,0.0191475672698,0.0957378363492,0.287213509048,EMA50_TREND_LOSS,13.4,13.37,13.2955480886,8,960,16,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,15,T2-H1-CNYRUBF-000014,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|15|T2-H1-CNYRUBF-000014,SHORT,2023-09-21 20:00:00+03:00,2023-09-22 10:00:00+03:00,2023-09-21,2023-09-22,2023,9,2023,9,3,4,20,10,-1.05838180376,-1,0.0583818037635,0.583818037635,0.583818037635,INITIAL_STOP,13.13,13.1642572492,13.1642572492,5,840,14,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,16,T2-H1-CNYRUBF-000015,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|16|T2-H1-CNYRUBF-000015,LONG,2023-10-02 13:00:00+03:00,2023-10-03 14:00:00+03:00,2023-10-02,2023-10-03,2023,10,2023,10,0,1,13,14,0.102612081094,0.124206176136,0.0215940950419,0.161955712815,1.24166046491,ATR_TRAILING_STOP,13.515,13.5265037167,13.4223820877,16,1500,25,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
v3,perpetual,baseline,T2,H1,CNYRUBF,V3_T2_BASELINE,TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv,17,T2-H1-CNYRUBF-000016,v3|baseline|T2|H1|CNYRUBF|TradingSystemLab/results/perpetual_v3/baseline/T2/H1/CNYRUBF/trades.csv|17|T2-H1-CNYRUBF-000016,LONG,2023-10-04 22:00:00+03:00,2023-10-06 12:00:00+03:00,2023-10-04,2023-10-06,2023,10,2023,10,2,4,22,12,3.05315716838,3.09921658744,0.04605941906,0.6908912859,5.57318970626,ATR_TRAILING_STOP,13.62,13.7545747146,13.5765778284,20,2280,38,SOURCE,SOURCE,SOURCE,SOURCE,DERIVED
